Ref Des,Mid X (mm),Mid Y (mm),Rotation,Comment,LCSC Part Number
BOOT_BUTTON,85.95,90.41,180,BUTTON_CUSYOMV1,MYBUTTON
C1,133.47,7.69,180,100nF,ESP32_WROVER_EAGLE-LTSPICE_C0402
C10,104,90.69,90,100nF,ESP32_WROVER_EAGLE-LTSPICE_C0402
C10_SUPERCAP,169.03,22.93,90,CPH3225A,CAPCP3225X100N
C1_BAT,193.16,11.5,90,4.7uF,ESP32_WROVER_EAGLE-LTSPICE_C0402
C1_BAT1,120.77,52.14,0,4.7uF,ESP32_WROVER_EAGLE-LTSPICE_C0402
C1_BAT2,110.61,52.14,0,4.7uF,ESP32_WROVER_EAGLE-LTSPICE_C0402
C2,125.85,24.2,90,100nF ,ESP32_WROVER_EAGLE-LTSPICE_C0402
C2_BAT,189.35,11.5,90,4.7uF,ESP32_WROVER_EAGLE-LTSPICE_C0402
C3,94.1,25.47,0,100uF TANT,RCL_CT3528
C4,116.96,25.47,90,4.7uF/25V,EAGLE-LTSPICE_C0402
C4_USB,189.35,26.74,0,100nF,EAGLE-LTSPICE_C0402
C5,64,90.69,90,1uF,ESP32_WROVER_EAGLE-LTSPICE_C0402
C5_USB,186.81,30.55,90,4.7uF,EAGLE-LTSPICE_C0402
C6,89.02,90.69,90,100nF,ESP32_WROVER_EAGLE-LTSPICE_C0402
C7,120.77,5.15,90,10uF,ESP32_WROVER_EAGLE-LTSPICE_C0402
C8,149.98,2.61,90,100nF,ESP32_WROVER_EAGLE-LTSPICE_C0402
C9,90.29,64.84,270,100nF,ESP32_WROVER_EAGLE-LTSPICE_C0402
CHANGE_BUTTON,100.95,90.41,180,BUTTON_CUSYOMV1,MYBUTTON
CHG_LED,204.59,19.12,180,,ADAFRUIT_CHIP-LED0603
C_DELAY,106.8,83.89,90,100nF,ESP32_WROVER_EAGLE-LTSPICE_C0402
D1,169.03,31.82,0,USBLC6-2SC6Y,SOT95P280X145-6N
D10,148.71,-6.28,0,PGB1010603MR,DIOC1608X36N
D11,59.81,66.11,90,PGB1010603MR,DIOC1608X36N
D12,69.97,54.68,0,PGB1010603MR,DIOC1608X36N
